City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,happy valley-goose bay,53.3168,-60.3315,75.51,43,75,10.36,CA,1722884217
158,kasongo,-4.45,26.6667,78.06,25,20,1.36,CD,1722884218
159,ronda,36.7423,-5.1671,86.23,32,0,4.7,ES,1722884219
160,mana,5.6592,-53.7767,85.51,66,13,13.0,GF,1722884220
161,watsa,3.0372,29.5355,66.38,96,100,0.98,CD,1722884221
162,iskateley,67.6803,53.1512,43.66,83,3,11.9,RU,1722884222
163,pueblo,38.2545,-104.6091,99.57,22,0,8.05,US,1722883969
164,bamboo flat,11.7,92.7167,80.69,89,75,5.75,IN,1722884224
165,newnham,-41.3833,147.1333,48.31,93,100,12.66,AU,1722884225
166,kuanda,56.3161,116.0806,57.96,84,100,2.06,RU,1722884226
167,mar del plata,-38.0023,-57.5575,56.52,84,0,17.27,AR,1722884132
168,aydarken,39.9443,71.3429,62.6,42,4,1.61,KG,1722884228
169,kamloops,50.6665,-120.3192,82.74,39,20,10.36,CA,1722884080
170,champua,22.0833,85.6667,78.15,88,100,6.42,IN,1722884230
171,ostersund,63.1792,14.6357,66.65,72,100,4.61,SE,1722884231
172,howrah,22.5892,88.3103,82.4,94,40,3.44,IN,1722884232
173,shingu,33.7333,135.9833,77.43,94,61,3.06,JP,1722884233
174,faya-largeau,17.9257,19.1043,88.61,53,100,15.1,TD,1722884234
175,warwick,41.7001,-71.4162,90.72,64,20,11.5,US,1722884235
176,afaahiti,-17.75,-149.2833,76.87,75,86,11.92,PF,1722884236
177,lithgow,-33.4833,150.15,36.64,91,0,4.21,AU,1722884238
178,axim,4.8699,-2.2405,74.21,87,100,8.61,GH,1722884239
179,quepos,9.4236,-84.1652,82.44,79,72,5.35,CR,1722884240
180,ilulissat,69.2167,-51.1,45.43,61,8,3.38,GL,1722884241
181,hadibu,12.65,54.0333,78.15,80,37,19.22,YE,1722884242
182,machico,32.7,-16.7667,77.72,72,40,10.36,PT,1722884243
183,inirida,3.8653,-67.9239,85.15,68,69,1.7,CO,1722884244
184,nueve de julio,-35.4444,-60.8831,59.97,80,86,1.99,AR,1722883952
185,st. john's,47.5649,-52.7093,75.15,87,100,25.32,CA,1722884156
186,constantia,44.1833,28.65,74.08,61,100,12.08,RO,1722884247
187,yauya,-8.9833,-77.3,64.53,31,51,6.87,PE,1722884248
188,labrador city,52.9463,-66.9114,57.18,62,100,16.11,CA,1722884249
189,muntok,-2.0667,105.1833,80.01,81,85,10.63,ID,1722884250
190,touros,-5.1989,-35.4608,79.34,69,86,17.34,BR,1722884251
191,fukuecho,32.6881,128.8419,83.35,77,55,8.34,JP,1722884252
192,jamaame,0.0697,42.745,75.09,78,2,13.67,SO,1722884253
193,limon,10.0,-83.0333,87.06,79,0,8.05,CR,1722884254
194,ponta delgada,37.7333,-25.6667,79.52,78,20,11.5,PT,1722884255
195,jamestown,42.097,-79.2353,85.01,67,75,11.99,US,1722883992
196,williams lake,52.1415,-122.1445,68.05,58,75,10.36,CA,1722884257
197,arkhangel'sk,64.5401,40.5433,57.31,88,40,4.47,RU,1722884068
198,la passe,45.5549,-0.8967,77.02,74,0,11.32,FR,1722884259
199,suicheng,33.8963,117.9331,79.27,89,1,2.98,CN,1722884260
200,tual,-5.6667,132.75,77.45,85,97,20.78,ID,1722884261
201,talakan,50.3167,130.3667,65.88,99,100,4.45,RU,1722884262
202,sampit,-2.5333,112.95,72.99,92,99,2.3,ID,1722884145
203,al mijlad,11.0333,27.7333,83.89,58,96,9.28,SD,1722884265
204,shendi,16.6915,33.4341,87.28,52,99,22.1,SD,1722884266
205,atafu village,-8.5421,-172.5159,82.26,75,26,5.12,TK,1722884267
206,ceeldheer,3.8488,47.1806,75.88,81,2,20.47,SO,1722884268
207,at taj,24.2049,23.2857,90.79,14,5,10.58,LY,1722884269
208,navasota,30.388,-96.0877,96.26,54,0,5.97,US,1722884270
209,saldanha,-33.0117,17.9442,53.65,81,1,9.17,ZA,1722884271
210,puerto deseado,-47.7503,-65.8938,40.1,76,100,15.32,AR,1722884272
211,camana,-16.6228,-72.7111,61.43,83,96,9.53,PE,1722884273
212,prince george,53.9166,-122.753,67.62,57,0,11.5,CA,1722884050
213,selfoss,63.9331,-20.9971,53.04,96,100,1.86,IS,1722884275
214,pangkalanbuun,-2.6833,111.6167,71.94,94,100,1.36,ID,1722884276
215,menongue,-14.6585,17.691,65.37,22,0,4.94,AO,1722884278
216,qaqortoq,60.7167,-46.0333,49.01,69,100,3.69,GL,1722884279
217,la palma,33.8464,-118.0467,102.42,48,40,8.05,US,1722884047
218,reggane,26.7158,0.1714,108.14,8,0,7.45,DZ,1722884281
219,camiri,-20.05,-63.5167,89.38,35,11,6.91,BO,1722884282
220,hlohovec,48.4317,17.8031,66.42,53,0,5.14,SK,1722884283
221,sisimiut,66.9395,-53.6735,46.22,74,85,5.14,GL,1722884284
222,zouerate,22.7187,-12.4521,103.95,12,2,17.72,MR,1722884285
223,bukama,-9.2,25.85,77.04,18,0,1.81,CD,1722884286
224,chadan,51.2833,91.5833,56.98,90,100,0.78,RU,1722884287
225,robertsport,6.7533,-11.3686,77.34,86,33,13.65,LR,1722884288
226,ende,-8.8432,121.6623,70.99,91,34,3.71,ID,1722884289
227,khandyga,62.6667,135.6,54.61,98,100,4.5,RU,1722884290
228,smirnykh,49.75,142.8333,52.88,96,100,2.51,RU,1722884291
229,ponnani,10.767,75.9252,76.32,86,100,4.25,IN,1722884292
230,berezovyy,51.6667,135.7,63.55,96,100,4.34,RU,1722884293
231,keflavik,64.0049,-22.5624,57.11,94,75,9.22,IS,1722884294
232,northam,51.0333,-4.2167,69.39,86,100,14.58,GB,1722884295
233,beloyarskiy,63.7119,66.6722,52.7,70,100,8.37,RU,1722884296
234,severnoye,56.3491,78.3619,59.95,93,100,4.03,RU,1722884297
235,alice springs,-23.7,133.8833,36.95,100,0,0.0,AU,1722884298
236,hong kong,22.2855,114.1577,87.96,84,100,4.0,HK,1722884258
237,pangody,65.85,74.4859,48.78,66,63,11.63,RU,1722884300
238,bain-de-bretagne,47.8442,-1.6849,72.7,67,0,9.19,FR,1722884301
239,loiza,18.4313,-65.8802,92.08,74,40,17.27,PR,1722884302
240,akureyri,65.6835,-18.0878,53.53,87,100,13.8,IS,1722884304
241,saint-philippe,-21.3585,55.7679,65.79,81,7,5.95,RE,1722884305
242,wailua homesteads,22.0669,-159.378,80.13,73,0,11.5,US,1722884306
243,whangarei,-35.7317,174.3239,42.06,97,3,2.91,NZ,1722884307
244,enewetak,11.3474,162.3373,83.55,73,83,4.9,MH,1722884308
245,saint-pierre,-21.3393,55.4781,65.88,68,0,6.91,RE,1722884088
246,abaza,52.655,90.0928,55.31,96,100,4.43,RU,1722884310
247,port lincoln,-34.7333,135.8667,48.6,91,99,9.42,AU,1722884311
248,shancheng,34.7953,116.0817,76.62,97,100,5.82,CN,1722884312
249,saudarkrokur,65.7461,-19.6394,51.35,92,100,10.02,IS,1722884235
250,al muwayh,22.4333,41.7583,85.05,45,99,7.4,SA,1722884314
251,new norfolk,-42.7826,147.0587,50.92,83,100,4.5,AU,1722884315
252,san patricio,28.017,-97.5169,94.15,40,12,6.49,US,1722884316
253,klyuchi,52.2667,79.1667,64.51,69,40,6.62,RU,1722884317
254,sao joao da barra,-21.6403,-41.0511,80.69,80,0,17.05,BR,1722884318
255,dhromolaxia,34.8755,33.5868,87.46,47,0,3.44,CY,1722884319
256,thompson,55.7435,-97.8558,69.96,37,20,5.75,CA,1722884320
257,quellon,-43.1167,-73.6167,46.33,94,100,18.57,CL,1722884321
258,tashtyp,52.7939,89.8983,54.79,95,82,4.16,RU,1722884322
259,luuq,3.7938,42.5445,86.59,33,55,14.54,SO,1722884323
